src,dst,BSETransferDate,EffDate,TruncDate
837821,920821,20220706,20251009,20251001
838670,920870,20220705,20251009,20251001
833943,920943,20220624,20251009,20251001
831278,920378,20220620,20251009,20251001
430564,920564,20220617,20251009,20251001
832491,920491,20220614,20251009,20251001
870299,920299,20220610,20251009,20251001
873223,920223,20220609,20251009,20251001
838171,920271,20220602,20251009,20251001
831167,920267,20220527,20251009,20251001
833533,920533,20220524,20251009,20251001
871970,920970,20220518,20251009,20251001
833580,920580,20220513,20251009,20251001
873169,920169,20220415,20251009,20251001
831689,920689,20220321,20251009,20251001
832419,920419,20220311,20251009,20251001
835179,920179,20220304,20251009,20251001
871857,920857,20220228,20251009,20251001
833346,920346,20220223,20251009,20251001
870204,920204,20220118,20251009,20251001
871245,920245,20220106,20251009,20251001
836720,920720,20211124,20251009,20251001
871981,920981,20211115,20251009,20251001
833873,920873,20211115,20251009,20251001
831832,920932,20211115,20251009,20251001
839680,920680,20211115,20251009,20251001
833454,920454,20211115,20251009,20251001
870436,920436,20211115,20251009,20251001
836260,920260,20211115,20251009,20251001
832171,920171,20211115,20251009,20251001
832145,920145,20211115,20251009,20251001
837092,920092,20211115,20251009,20251001
832089,920089,20211109,20251009,20251001
831305,920405,20211105,20251009,20251001
838924,920924,20211103,20251009,20251001
836892,920892,20211028,20251009,20251001
872925,920925,20211025,20251009,20251001
836077,920077,20210831,20251009,20251001
835305,920305,20210826,20251009,20251001
835174,920174,20210820,20251009,20251001
831039,920039,20210818,20251009,20251001
871642,920642,20210816,20251009,20251001
832566,920566,20210813,20251009,20251001
430090,920090,20210809,20251009,20251001
871553,920553,20210806,20251009,20251001
839946,920146,20210720,20251009,20251001
832885,920885,20210708,20251009,20251001
834765,920765,20210705,20251009,20251001
831768,920768,20210628,20251009,20251001
837212,920212,20210608,20251009,20251001
833523,920523,20210603,20251009,20251001
831726,920726,20210527,20251009,20251001
832225,920225,20210225,20251009,20251001
830832,920832,20210223,20251009,20251001
834599,920599,20210222,20251009,20251001
832735,920735,20210219,20251009,20251001
836239,920239,20210209,20251009,20251001
833427,920427,20210205,20251009,20251001
838275,920275,20210125,20251009,20251001
836826,920826,20210112,20251009,20251001
833509,920509,20210111,20251009,20251001
837344,920344,20210108,20251009,20251001
836675,920675,20201228,20251009,20251001
430510,920510,20201228,20251009,20251001
831856,920856,20201225,20251009,20251001
832000,920000,20201223,20251009,20251001
835670,920670,20201208,20251009,20251001
838030,920030,20201127,20251009,20251001
430047,920047,20201124,20251009,20251001
871396,920396,20201118,20251009,20251001
830839,920839,20201109,20251009,20251001
830964,920964,20200727,20251009,20251001
831961,920961,20200727,20251009,20251001
830946,920946,20200727,20251009,20251001
839729,920729,20200727,20251009,20251001
835640,920640,20200727,20251009,20251001
835508,920508,20200727,20251009,20251001
834475,920475,20200727,20251009,20251001
836433,920433,20200727,20251009,20251001
430418,920418,20200727,20251009,20251001
834415,920415,20200727,20251009,20251001
831370,920370,20200727,20251009,20251001
835368,920368,20200727,20251009,20251001
832278,920278,20200727,20251009,20251001
833266,920266,20200727,20251009,20251001
836263,920263,20200727,20251009,20251001
837242,920242,20200727,20251009,20251001
430198,920198,20200727,20251009,20251001
835185,920185,20200727,20251009,20251001
835184,920184,20200727,20251009,20251001
838163,920163,20200727,20251009,20251001
836149,920149,20200727,20251009,20251001
834021,920021,20200727,20251009,20251001
831010,920010,20200727,20251009,20251001
